Netlist file: ../net/alu4.net   Architecture file: 4lut_sanitized.arch
Array size: 40 x 40 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_9_		21	0	1	#0
i_10_		16	0	0	#1
i_7_		20	0	0	#2
i_8_		19	0	0	#3
i_5_		27	0	0	#4
i_6_		21	0	0	#5
i_3_		26	0	0	#6
i_13_		18	0	0	#7
i_4_		26	0	1	#8
i_12_		20	0	1	#9
i_1_		28	0	0	#10
i_11_		18	0	1	#11
i_2_		27	0	1	#12
i_0_		28	0	1	#13
out:o_1_	33	41	0	#14
out:o_2_	41	30	0	#15
out:o_0_	41	34	0	#16
out:o_7_	13	41	0	#17
out:o_5_	41	9	0	#18
out:o_6_	11	41	0	#19
out:o_3_	0	30	0	#20
out:o_4_	0	16	0	#21
o_1_		33	37	0	#22
o_2_		37	30	0	#23
o_0_		40	34	0	#24
o_7_		13	40	0	#25
o_5_		37	9	0	#26
o_6_		11	39	0	#27
o_3_		1	30	0	#28
o_4_		7	16	0	#29
n_n637		30	14	0	#30
n_n860		12	35	0	#31
n_n861		32	38	0	#32
[8]		34	2	0	#33
[21]		25	25	0	#34
[23]		10	17	0	#35
[414]		36	37	0	#36
n_n877		38	27	0	#37
n_n876		38	29	0	#38
n_n878		35	29	0	#39
n_n874		35	33	0	#40
[18]		29	11	0	#41
[55]		4	30	0	#42
[126]		36	9	0	#43
[278]		40	30	0	#44
[283]		24	4	0	#45
[327]		27	25	0	#46
[343]		38	34	0	#47
[348]		38	36	0	#48
[386]		39	36	0	#49
n_n1240		20	40	0	#50
n_n1241		23	40	0	#51
n_n1221		13	37	0	#52
n_n1236		23	29	0	#53
n_n1222		12	30	0	#54
n_n1121		9	7	0	#55
n_n1120		12	4	0	#56
n_n1108		7	9	0	#57
n_n1189		23	19	0	#58
n_n1187		17	20	0	#59
n_n658		19	6	0	#60
n_n741		15	11	0	#61
n_n566		16	8	0	#62
n_n764		11	4	0	#63
n_n701		10	9	0	#64
[323]		1	21	0	#65
[325]		1	14	0	#66
[326]		1	16	0	#67
n_n970		4	12	0	#68
n_n972		7	28	0	#69
n_n978		17	12	0	#70
n_n976		17	9	0	#71
n_n962		8	22	0	#72
n_n955		28	16	0	#73
n_n957		4	14	0	#74
n_n816		17	14	0	#75
n_n853		9	18	0	#76
n_n779		11	9	0	#77
n_n795		19	27	0	#78
[17]		11	16	0	#79
[33]		26	14	0	#80
[35]		10	11	0	#81
[37]		15	22	0	#82
[68]		9	25	0	#83
[288]		20	15	0	#84
[313]		12	14	0	#85
[322]		11	17	0	#86
[336]		11	6	0	#87
[420]		7	33	0	#88
n_n833		27	30	0	#89
n_n538		27	19	0	#90
n_n850		20	31	0	#91
n_n498		20	25	0	#92
n_n838		22	19	0	#93
n_n835		22	25	0	#94
n_n748		19	22	0	#95
n_n725		19	34	0	#96
[341]		22	34	0	#97
n_n665		30	27	0	#98
[425]		32	26	0	#99
[337]		29	38	0	#100
[430]		29	33	0	#101
n_n1245		29	34	0	#102
[435]		33	26	0	#103
[434]		28	30	0	#104
n_n716		18	5	0	#105
n_n849		14	9	0	#106
n_n36		34	32	0	#107
[438]		8	10	0	#108
n_n545		18	4	0	#109
n_n675		13	5	0	#110
[29]		15	14	0	#111
[289]		13	7	0	#112
[443]		11	5	0	#113
[442]		12	9	0	#114
n_n570		20	29	0	#115
n_n787		14	20	0	#116
n_n769		11	14	0	#117
n_n819		14	10	0	#118
n_n273		7	3	0	#119
[381]		16	14	0	#120
[12]		22	10	0	#121
[377]		18	19	0	#122
n_n847		25	32	0	#123
[27]		19	17	0	#124
n_n581		24	15	0	#125
[264]		9	34	0	#126
n_n638		29	19	0	#127
[15]		20	10	0	#128
n_n814		18	17	0	#129
n_n541		25	22	0	#130
[28]		40	9	0	#131
n_n746		19	13	0	#132
[333]		31	12	0	#133
n_n830		26	30	0	#134
n_n453		29	14	0	#135
n_n761		15	16	0	#136
n_n213		24	8	0	#137
n_n421		30	3	0	#138
n_n415		26	6	0	#139
[344]		26	38	0	#140
n_n369		32	17	0	#141
[25]		20	22	0	#142
n_n358		24	3	0	#143
[14]		24	20	0	#144
n_n412		27	18	0	#145
[279]		18	27	0	#146
n_n773		5	13	0	#147
n_n844		26	18	0	#148
[13]		20	27	0	#149
n_n639		29	7	0	#150
[286]		17	19	0	#151
n_n185		20	8	0	#152
n_n432		23	5	0	#153
n_n826		29	5	0	#154
n_n183		38	21	0	#155
[96]		40	8	0	#156
n_n818		28	5	0	#157
n_n153		25	1	0	#158
n_n316		35	12	0	#159
n_n197		39	22	0	#160
n_n843		18	22	0	#161
n_n699		10	15	0	#162
[293]		2	27	0	#163
n_n678		5	20	0	#164
n_n671		9	22	0	#165
[26]		20	6	0	#166
n_n176		20	14	0	#167
n_n712		14	18	0	#168
n_n751		20	28	0	#169
[265]		26	31	0	#170
n_n719		18	10	0	#171
[31]		5	4	0	#172
n_n687		3	8	0	#173
[34]		24	2	0	#174
n_n827		17	16	0	#175
n_n685		11	10	0	#176
[309]		7	10	0	#177
[267]		6	11	0	#178
n_n683		16	19	0	#179
n_n275		16	4	0	#180
n_n792		9	6	0	#181
n_n35		35	15	0	#182
[69]		9	24	0	#183
[70]		10	10	0	#184
[106]		7	24	0	#185
[450]		5	27	0	#186
n_n1261		8	30	0	#187
[454]		29	28	0	#188
[453]		29	30	0	#189
n_n1248		27	29	0	#190
n_n752		19	23	0	#191
[307]		24	22	0	#192
n_n635		30	29	0	#193
n_n592		24	6	0	#194
n_n832		20	33	0	#195
n_n852		26	32	0	#196
n_n1243		28	32	0	#197
n_n609		30	5	0	#198
[465]		29	36	0	#199
n_n598		26	4	0	#200
n_n575		18	1	0	#201
[19]		18	16	0	#202
[9]		13	14	0	#203
n_n672		13	8	0	#204
n_n810		20	7	0	#205
[32]		6	7	0	#206
[370]		11	7	0	#207
[371]		9	2	0	#208
[295]		13	2	0	#209
[301]		18	11	0	#210
[346]		13	6	0	#211
[11]		20	9	0	#212
n_n633		27	28	0	#213
n_n653		20	37	0	#214
n_n526		28	10	0	#215
n_n534		40	21	0	#216
n_n242		4	32	0	#217
n_n656		19	5	0	#218
n_n194		18	2	0	#219
n_n346		27	16	0	#220
n_n842		14	17	0	#221
[281]		1	13	0	#222
n_n791		9	19	0	#223
n_n755		17	22	0	#224
n_n846		16	28	0	#225
n_n1258		13	29	0	#226
n_n670		15	10	0	#227
[113]		11	19	0	#228
n_n756		20	30	0	#229
n_n550		19	26	0	#230
n_n732		18	38	0	#231
[284]		21	18	0	#232
[483]		20	39	0	#233
[482]		19	31	0	#234
[118]		21	2	0	#235
[487]		34	25	0	#236
[486]		35	26	0	#237
[485]		36	22	0	#238
n_n1126		35	23	0	#239
[22]		27	34	0	#240
[38]		15	32	0	#241
[297]		24	17	0	#242
n_n1127		38	15	0	#243
[493]		39	17	0	#244
[491]		37	21	0	#245
n_n1112		38	19	0	#246
[268]		31	23	0	#247
n_n274		8	2	0	#248
